M0P1	718.518205
M0P2	713.719845
N230	10.961828
N7	9.525836
N36	8.648595
N149	8.621997
N199	8.382864
N33	8.237669
N81	8.011821
N47	7.591946
N141	6.991327
N35	6.923596
N11	6.859769
N119	6.654054
N18	6.604116
N164	6.575811
N86	6.276048
N90	6.096284
N32	5.77405
N120	5.687164
N239	5.662337
N158	5.610121
N62	5.590323
N61	5.506282
N59	5.48097
N76	5.235
N252	5.182177
N159	5.152267
N68	4.965581
N188	4.845127
N70	4.824545
N232	4.766208
N123	4.548227
N235	4.516066
N237	4.468501
N64	4.45507
N20	4.272874
N240	4.243459
N132	4.204223
N72	4.193325
N22	4.040336
N214	3.975475
N179	3.974414
N234	3.940486
N201	3.903158
N183	3.87262
N161	3.81664
N60	3.70039
N67	3.697962
N19	3.638054
N162	3.611796
N241	3.533428
N205	3.466775
N176	3.428282
N209	3.413388
N52	3.4037
N78	3.38981
N194	3.371054
N139	3.352537
N4	3.265519
N95	3.178231
N133	3.16647
N156	3.152345
N222	3.117562
N225	3.060729
N101	3.041527
N140	2.931799
N174	2.91801
N96	2.899907
N40	2.885322
N200	2.864218
N117	2.863782
N37	2.765627
N145	2.765573
N243	2.727313
N171	2.714685
N180	2.709834
N242	2.661024
N197	2.629822
N121	2.465657
N249	2.427039
N66	2.387048
N182	2.361668
N118	2.316257
N127	2.281856
N27	2.255334
N63	2.191016
N175	2.180178
N251	2.17988
N172	2.178121
N244	2.155194
N226	2.129078
N168	2.102572
N219	2.063185
N30	2.057454
N43	1.965124
N44	1.89861
N124	1.876816
N196	1.875165
N98	1.853044
N146	1.834919
N39	1.81953
N198	1.788251
N109	1.787069
N24	1.776226
N94	1.770961
N10	1.763059
N190	1.745148
N160	1.731297
N111	1.723441
N29	1.71053
N3	1.698082
N227	1.677288
N223	1.670974
N46	1.62521
N154	1.598271
N112	1.565401
N51	1.556904
N253	1.513208
N1	1.491392
N185	1.486148
N250	1.438577
N102	1.437515
N45	1.436434
N14	1.424991
N49	1.412398
N173	1.397831
N224	1.396276
N217	1.389986
N189	1.388412
N246	1.384852
N5	1.381839
N157	1.364248
N15	1.321416
N26	1.318331
N114	1.252594
N216	1.244365
N80	1.235968
N48	1.171739
N229	1.168081
N192	1.15918
N236	1.138454
N9	1.123935
N212	1.0985
N122	1.072356
N77	1.026496
N163	1.020556
N104	1.016992
N220	1.015943
N6	1.009847
N41	0.994459
N54	0.978313
N125	0.965451
N12	0.950211
N233	0.939663
N135	0.937926
N88	0.926592
N65	0.918433
N206	0.890445
N97	0.872195
N57	0.868654
N23	0.852828
N84	0.817883
N38	0.815335
N165	0.812231
N166	0.766378
N187	0.749708
N213	0.746832
N99	0.74069
N193	0.72591
N91	0.715188
N169	0.701714
N170	0.686171
N21	0.685442
N150	0.684389
N2	0.677256
N218	0.674119
N89	0.662776
N100	0.661781
N56	0.6613
N202	0.645715
N228	0.607052
N128	0.568693
N142	0.566812
N204	0.565839
N231	0.558407
N110	0.55399
N245	0.54729
N178	0.536803
N134	0.52664
N221	0.52559
N215	0.5226
N103	0.51963
N143	0.509704
N58	0.489482
N17	0.48582
N25	0.475829
N75	0.474622
N195	0.46891
N177	0.45106
N108	0.449097
N28	0.445669
N184	0.445043
N126	0.436262
N74	0.432562
N155	0.414742
N106	0.391125
N247	0.378341
N191	0.348491
N207	0.342095
N136	0.33222
N82	0.33015
N151	0.31725
N50	0.313578
N186	0.294287
N248	0.289289
N131	0.279406
N137	0.272326
N93	0.265664
N147	0.246622
N210	0.24088
N116	0.239064
N107	0.226641
N167	0.21352
N0	0.209055
N153	0.203728
N85	0.195773
N16	0.187224
N83	0.178545
N203	0.177997
N53	0.176472
N144	0.162979
N71	0.152073
N8	0.151564
N79	0.150326
N69	0.144616
N148	0.131792
N31	0.115266
N105	0.101432
N129	0.101015
N238	0.100407
N92	0.085078
N113	0.084561
N73	0.072684
N34	0.06716
N55	0.062596
N152	0.058613
N181	0.058182
N211	0.048968
N208	0.044784
N138	0.037243
N130	0.029532
N87	0.024367
N13	0.011335
N115	0.010402
N42	0.009977
